,Timestamp,PSM_xyz,PSM_roll_pitchGripper_angle_radians,Puzzle_position_xyz,Gripper_angle_radians,PSM_roll_pitch,Input_L
45,1652781652.0853424,"[-3.1407747001462494, 0.0835585132023993, 1.4069223133855504]",,<coroutine object RemoteAPIClient.call at 0x7fca1f98ebc0>,"(0.0, 0.0)","(-0.13910330832004547, 0.10553038120269775)","{'action': 'joystick1', 'x': '91.10823822021484', 'y': '194.7396240234375', 'z': '100', 'o': 0, 'c': 0, 's': 0, 'sensitivity': '3'}"
46,1652781652.1051683,"[-3.1407747001462494, 0.0835585132023993, 1.4069223133855504]",,<coroutine object RemoteAPIClient.call at 0x7fca1f9e2a40>,"(0.0, 0.0)","(-0.13910330832004547, 0.10553038120269775)","{'action': 'joystick1', 'x': '91.10823822021484', 'y': '201.84783935546875', 'z': '100', 'o': 0, 'c': 0, 's': 0, 'sensitivity': '3'}"
47,1652781652.1263375,"[-3.1407747001462494, 0.0835585132023993, 1.4069223133855504]",,<coroutine object RemoteAPIClient.call at 0x7fca1f98e340>,"(0.0, 0.0)","(-0.13910330832004547, 0.10553038120269775)","{'action': 'joystick1', 'x': '100', 'y': '100', 'z': '100', 'o': 0, 'c': 0, 's': 0, 'sensitivity': '3'}"
48,1652781652.399124,"[-3.1407747001462494, 0.0835585132023993, 1.4069223133855504]",,<coroutine object RemoteAPIClient.call at 0x7fca1f98ee40>,"(0.0, 0.0)","(-0.13910330832004547, 0.10553038120269775)","{'action': 'joystick1', 'x': '128.4070281982422', 'y': '93.44854736328125', 'z': '100', 'o': 0, 'c': 0, 's': 0, 'sensitivity': '3'}"
49,1652781652.4193003,"[-3.1407747001462494, 0.0835585132023993, 1.4069223133855504]",,<coroutine object RemoteAPIClient.call at 0x7fca1f91a1c0>,"(0.0, 0.0)","(-0.13910330832004547, 0.10553038120269775)","{'action': 'joystick1', 'x': '127.34135437011719', 'y': '99.13507080078125', 'z': '100', 'o': 0, 'c': 0, 's': 0, 'sensitivity': '3'}"
50,1652781652.439831,"[-3.1407747001462494, 0.0835585132023993, 1.4069223133855504]",,<coroutine object RemoteAPIClient.call at 0x7fca1f91a440>,"(0.0, 0.0)","(-0.13910330832004547, 0.10553038120269775)","{'action': 'joystick1', 'x': '121.30250549316406', 'y': '138.940673828125', 'z': '100', 'o': 0, 'c': 0, 's': 0, 'sensitivity': '3'}"
51,1652781652.4745903,"[-3.1407747001462494, 0.0835585132023993, 1.4069223133855504]",,<coroutine object RemoteAPIClient.call at 0x7fca1f91a4c0>,"(0.0, 0.0)","(-0.13910330832004547, 0.10553038120269775)","{'action': 'joystick1', 'x': '119.88159942626953', 'y': '149.24749755859375', 'z': '100', 'o': 0, 'c': 0, 's': 0, 'sensitivity': '3'}"
52,1652781652.4951274,"[-3.1407747001462494, 0.0835585132023993, 1.4069223133855504]",,<coroutine object RemoteAPIClient.call at 0x7fca1f91a840>,"(0.0, 0.0)","(-0.13910330832004547, 0.10553038120269775)","{'action': 'joystick1', 'x': '112.06660461425781', 'y': '194.02883911132812', 'z': '100', 'o': 0, 'c': 0, 's': 0, 'sensitivity': '3'}"
53,1652781652.515844,"[-3.1407747001462494, 0.0835585132023993, 1.4069223133855504]",,<coroutine object RemoteAPIClient.call at 0x7fca1f91a240>,"(0.0, 0.0)","(-0.13910330832004547, 0.10553038120269775)","{'action': 'joystick1', 'x': '110.64570617675781', 'y': '200.42617797851562', 'z': '100', 'o': 0, 'c': 0, 's': 0, 'sensitivity': '3'}"
54,1652781652.5364125,"[-3.1407747001462494, 0.0835585132023993, 1.4069223133855504]",,<coroutine object RemoteAPIClient.call at 0x7fca1f91a5c0>,"(0.0, 0.0)","(-0.13910330832004547, 0.10553038120269775)","{'action': 'joystick1', 'x': '109.58002471923828', 'y': '206.823486328125', 'z': '100', 'o': 0, 'c': 0, 's': 0, 'sensitivity': '3'}"
55,1652781652.5569491,"[-3.1407747001462494, 0.0835585132023993, 1.4069223133855504]",,<coroutine object RemoteAPIClient.call at 0x7fca1f91a0c0>,"(0.0, 0.0)","(-0.13910330832004547, 0.10553038120269775)","{'action': 'joystick1', 'x': '106.73820495605469', 'y': '217.4857177734375', 'z': '100', 'o': 0, 'c': 0, 's': 0, 'sensitivity': '3'}"
56,1652781652.5747955,"[-3.1407747001462494, 0.0835585132023993, 1.4069223133855504]",,<coroutine object RemoteAPIClient.call at 0x7fca1f91a2c0>,"(0.0, 0.0)","(-0.13910330832004547, 0.10553038120269775)","{'action': 'joystick1', 'x': '104.60684967041016', 'y': '227.79254150390625', 'z': '100', 'o': 0, 'c': 0, 's': 0, 'sensitivity': '3'}"
57,1652781652.5953407,"[-3.1407747001462494, 0.0835585132023993, 1.4069223133855504]",,<coroutine object RemoteAPIClient.call at 0x7fca1f91a6c0>,"(0.0, 0.0)","(-0.13910330832004547, 0.10553038120269775)","{'action': 'joystick1', 'x': '102.8307113647461', 'y': '236.32232666015625', 'z': '100', 'o': 0, 'c': 0, 's': 0, 'sensitivity': '3'}"
58,1652781652.6171863,"[-3.1407747001462494, 0.0835585132023993, 1.4069223133855504]",,<coroutine object RemoteAPIClient.call at 0x7fca1f91a3c0>,"(0.0, 0.0)","(-0.13910330832004547, 0.10553038120269775)","{'action': 'joystick1', 'x': '99.27845001220703', 'y': '242.0089111328125', 'z': '100', 'o': 0, 'c': 0, 's': 0, 'sensitivity': '3'}"
59,1652781652.637564,"[-3.1407747001462494, 0.0835585132023993, 1.4069223133855504]",,<coroutine object RemoteAPIClient.call at 0x7fca1f91a140>,"(0.0, 0.0)","(-0.13910330832004547, 0.10553038120269775)","{'action': 'joystick1', 'x': '100', 'y': '100', 'z': '100', 'o': 0, 'c': 0, 's': 0, 'sensitivity': '3'}"
